open_time,open,close,high,low
2021-02-08,1669.75,1751.75,1793.25,1604.5
2021-02-09,1740.0,1797.25,1858.75,1740.0
2021-02-10,1787.5,1728.5,1869.5,1700.0
2021-02-11,1774.0,1778.0,1839.75,1728.0
2021-02-12,1793.75,1868.25,1879.75,1763.0
2021-02-16,1868.25,1756.5,1868.25,1674.5
2021-02-17,1770.25,1840.25,1866.5,1740.0
2021-02-18,1840.75,1943.25,1960.25,1840.25
2021-02-19,1943.5,1960.75,1981.5,1897.75
2021-02-22,1967.0,1774.0,1967.0,1567.25
2021-02-23,1779.75,1527.25,1779.75,1371.0
2021-02-24,1556.0,1611.5,1711.0,1513.75
2021-02-25,1593.5,1576.25,1662.5,1528.0
2021-02-26,1500.0,1520.66,1539.0,1415.0
2021-03-01,1436.75,1526.0,1570.5,1413.5
2021-03-02,1560.0,1479.25,1610.75,1472.0
2021-03-03,1483.25,1588.5,1669.5,1483.25
2021-03-04,1596.25,1536.75,1638.0,1512.75
2021-03-05,1529.5,1541.5,1554.25,1446.75
2021-03-08,1613.5,1786.25,1807.0,1613.5
2021-03-09,1811.25,1846.5,1872.0,1811.25
2021-03-10,1846.5,1818.0,1893.75,1768.75
2021-03-11,1840.0,1824.0,1859.5,1735.5
2021-03-12,1853.0,1751.0,1857.75,1729.75
2021-03-15,1862.0,1794.25,1911.75,1743.5
2021-03-16,1808.0,1795.75,1825.0,1722.5
2021-03-17,1800.25,1836.5,1848.75,1748.5
2021-03-18,1835.25,1774.0,1859.0,1762.75
2021-03-19,1784.75,1831.75,1843.0,1733.0
2021-03-22,1810.0,1741.5,1813.5,1674.5
2021-03-23,1670.5,1706.5,1722.75,1648.75
2021-03-24,1664.0,1635.5,1743.75,1585.5
2021-03-25,1584.0,1607.5,1621.75,1552.5
2021-03-26,1606.0,1641.02,1650.0,1579.25
2021-03-29,1699.0,1835.25,1863.75,1695.75
2021-03-30,1831.5,1876.0,1876.0,1805.75
2021-03-31,1863.25,1926.25,1966.75,1798.75
2021-04-01,1957.25,2002.0,2010.75,1908.5
2021-04-02,1984.5,2002.0,2042.5,1975.0
2021-04-05,2092.5,2130.0,2158.5,2028.25
2021-04-06,2137.5,2135.25,2185.5,2067.25
2021-04-07,2130.75,1989.25,2151.0,1945.0
2021-04-08,2007.75,2072.5,2094.75,1960.0
2021-04-09,2067.75,2092.0,2122.25,2065.25
2021-04-12,2146.0,2166.5,2230.25,2128.25
2021-04-13,2169.5,2327.0,2345.0,2163.5
2021-04-14,2318.5,2346.75,2434.75,2300.0
2021-04-15,2411.75,2505.0,2527.5,2411.75
2021-04-16,2524.75,2449.0,2572.75,2317.0
2021-04-19,2287.5,2194.75,2292.5,2091.5
2021-04-20,2212.25,2333.0,2339.5,2062.75
2021-04-21,2319.25,2446.25,2480.5,2245.5
2021-04-22,2394.5,2539.0,2654.5,2322.0
2021-04-23,2420.0,2373.5,2450.25,2121.25
2021-04-26,2221.75,2500.0,2541.5,2215.0
2021-04-27,2497.0,2635.0,2692.5,2493.5
2021-04-28,2650.0,2742.5,2751.0,2572.0
2021-04-29,2725.75,2728.5,2803.75,2676.75
2021-04-30,2733.5,2751.53,2798.75,2731.25
2021-05-03,3000.0,3326.0,3379.0,2964.25
2021-05-04,3360.0,3438.25,3552.0,3186.0
2021-05-05,3375.25,3507.25,3515.5,3240.0
2021-05-06,3462.5,3508.25,3642.25,3405.75
2021-05-07,3550.0,3543.5,3623.25,3382.0
2021-05-10,3932.5,4009.0,4240.25,3712.75
2021-05-11,4012.5,4091.25,4159.5,3795.5
2021-05-12,4152.75,4093.5,4406.5,3944.25
2021-05-13,4135.0,3660.75,4260.0,3555.0
2021-05-14,3739.75,4068.25,4196.75,3620.0
2021-05-17,3505.0,3395.5,3612.25,3138.0
2021-05-18,3310.0,3410.25,3578.5,3200.5
2021-05-19,3418.0,2621.5,3451.25,2387.25
2021-05-20,2558.0,2820.75,2999.75,2157.0
2021-05-21,2842.0,2370.5,2957.25,2253.0
2021-05-24,2158.0,2654.5,2675.0,2062.0
2021-05-25,2630.0,2514.0,2758.0,2395.25
2021-05-26,2560.5,2743.5,2920.0,2560.5
2021-05-27,2808.0,2763.25,2900.0,2646.5
2021-05-28,2762.5,2565.92,2794.5,2430.5
2021-06-01,2493.75,2559.75,2760.0,2291.0
2021-06-02,2598.25,2772.75,2823.5,2565.75
2021-06-03,2742.5,2809.0,2911.5,2675.5
2021-06-04,2839.75,2701.75,2890.0,2564.25
2021-06-07,2738.0,2740.75,2867.0,2641.5
2021-06-08,2625.0,2513.5,2651.0,2317.0
2021-06-09,2535.0,2572.75,2642.5,2415.5
2021-06-10,2589.25,2460.5,2637.5,2430.0
2021-06-11,2487.0,2405.25,2499.0,2370.75
2021-06-14,2510.0,2544.0,2613.75,2466.75
2021-06-15,2579.25,2538.5,2645.75,2518.0
2021-06-16,2550.0,2419.25,2571.25,2379.5
2021-06-17,2415.0,2340.75,2464.75,2306.0
2021-06-18,2338.0,2155.5,2379.5,2137.5
2021-06-21,2250.0,1943.25,2265.0,1891.5
2021-06-22,1895.0,1902.25,1996.5,1697.75
2021-06-23,1880.0,1920.0,2043.75,1822.75
2021-06-24,1934.5,2011.25,2036.75,1886.0
2021-06-25,1996.0,1850.15,2015.0,1835.75
2021-06-28,1843.0,2125.25,2156.5,1836.5
2021-06-29,2130.75,2233.75,2259.5,2074.75
2021-06-30,2222.0,2258.25,2293.0,2101.5
2021-07-01,2273.25,2109.0,2291.25,2081.0
2021-07-02,2144.0,2108.0,2150.75,2028.75
2021-07-06,2301.5,2336.0,2395.5,2190.75
2021-07-07,2304.0,2376.25,2420.75,2294.75
2021-07-08,2362.0,2162.25,2362.0,2131.5
2021-07-09,2110.0,2135.0,2195.0,2048.75
2021-07-12,2174.25,2023.0,2184.0,2009.25
2021-07-13,2030.75,1922.5,2051.25,1918.75
2021-07-14,1941.75,1979.25,2024.75,1860.0
2021-07-15,2002.25,1918.5,2043.75,1878.5
2021-07-16,1926.5,1914.25,1968.0,1849.25
2021-07-19,1911.0,1824.0,1924.5,1801.5
2021-07-20,1815.25,1788.75,1843.0,1715.0
2021-07-21,1784.75,1940.75,2042.75,1755.0
2021-07-22,1957.0,2028.75,2046.25,1947.5
2021-07-23,1997.5,2024.75,2095.0,1994.5
2021-07-26,2151.0,2372.75,2435.25,2151.0
2021-07-27,2232.0,2232.75,2320.5,2152.0
2021-07-28,2254.0,2311.25,2355.0,2248.25
2021-07-29,2305.0,2313.5,2345.0,2265.0
2021-07-30,2309.5,2344.28,2447.5,2307.75
2021-08-02,2658.0,2610.0,2681.0,2518.0
2021-08-03,2619.75,2483.5,2647.75,2450.0
2021-08-04,2503.0,2700.75,2740.0,2466.75
2021-08-05,2730.25,2808.25,2845.25,2529.5
2021-08-06,2833.0,2940.25,2960.0,2730.0
2021-08-09,3036.75,3157.5,3200.0,2902.0
2021-08-10,3109.0,3153.0,3250.5,3059.5
2021-08-11,3180.0,3264.0,3290.0,3136.0
2021-08-12,3233.0,3060.0,3250.0,2986.5
2021-08-13,3056.75,3231.0,3307.5,2997.0
2021-08-16,3265.25,3183.0,3353.0,3138.75
2021-08-17,3180.0,3123.5,3303.5,3018.0
2021-08-18,3052.5,3032.25,3132.5,2953.5
2021-08-19,3013.5,3154.25,3173.5,2960.0
2021-08-20,3169.5,3256.25,3315.75,3159.5
2021-08-23,3178.0,3311.0,3387.75,3163.25
2021-08-24,3340.25,3218.75,3367.25,3144.5
2021-08-25,3215.5,3224.0,3253.5,3078.5
2021-08-26,3228.25,3105.5,3257.25,3054.0
2021-08-27,3122.0,3218.92,3226.0,3050.75
2021-08-30,3263.0,3367.0,3374.5,3165.25
2021-08-31,3365.5,3437.25,3509.25,3205.0
2021-09-01,3416.0,3743.0,3829.25,3389.0
2021-09-02,3784.25,3803.75,3874.25,3749.5
2021-09-03,3840.0,3970.75,4056.25,3729.5
2021-09-07,3982.75,3421.75,4000.25,3179.75
2021-09-08,3377.5,3536.25,3557.75,3227.75
2021-09-09,3482.5,3470.0,3582.25,3404.75
2021-09-10,3465.75,3312.25,3523.25,3210.0
2021-09-13,3343.75,3265.5,3455.25,3110.0
2021-09-14,3287.25,3357.0,3420.0,3278.0
2021-09-15,3367.75,3542.75,3586.25,3350.0
2021-09-16,3575.5,3571.75,3685.0,3486.75
2021-09-17,3560.0,3426.0,3603.25,3364.25
2021-09-20,3355.5,3075.75,3361.75,2913.0
2021-09-21,3024.5,2896.75,3105.5,2751.5
2021-09-22,2801.0,3022.5,3087.25,2709.75
2021-09-23,3045.0,3146.25,3174.0,3030.25
2021-09-24,3155.0,2904.04,3157.75,2730.25
2021-09-27,3092.5,3013.25,3194.75,2969.0
2021-09-28,2998.25,2848.5,3047.0,2816.0
2021-09-29,2882.25,2818.5,2960.25,2790.75
2021-09-30,2836.0,3005.5,3068.75,2822.5
2021-10-01,3008.5,3322.5,3346.0,2981.5
2021-10-04,3413.5,3447.75,3461.5,3291.75
2021-10-05,3424.25,3523.75,3560.75,3385.0
2021-10-06,3570.0,3617.25,3670.0,3363.0
2021-10-07,3612.0,3626.25,3674.75,3490.5
2021-10-08,3656.25,3659.25,3700.0,3570.0
2021-10-11,3502.0,3541.75,3654.75,3395.25
2021-10-12,3527.75,3488.75,3570.5,3421.5
2021-10-13,3510.5,3550.25,3617.75,3434.0
2021-10-14,3606.25,3814.0,3853.75,3606.0
2021-10-15,3805.5,3873.25,3936.5,3756.0
2021-10-18,3799.5,3774.5,3924.5,3685.0
2021-10-19,3767.5,3841.75,3899.0,3738.0
2021-10-20,3829.75,4135.0,4167.25,3829.75
2021-10-21,4140.25,4083.0,4404.0,4016.5
2021-10-22,4104.75,3994.25,4183.0,3897.75
2021-10-25,4081.5,4196.0,4251.0,4070.0
2021-10-26,4196.75,4215.5,4304.75,4138.75
2021-10-27,4247.5,4007.0,4314.25,3928.5
2021-10-28,4001.25,4268.75,4298.5,3884.5
